2,841714         
2,A1843420       
2,AA063710       
2,AB011492       
2,AE011131       
2,AE020207       
2,AE031035       
2,AE044072       
1,841768         
1,AF031089       
1,AW500038       
1,AZ320179       
1,B3872161       
3,AD025021       
3,AE010099       
3,AE020199       
3,AE040099       
3,AE045099       
3,D0092351       
3,D0093086       
3,D0094177       
3,D0099510       
4,W1330XC        
4,W1332AC        
5,BU8060BRO      
5,FU8060BRO      
5,LM4994001      
5,LU0215001      
5,5049           
5,8438           
6,CHLEXE260      
6,E260X22GNERICO 
6,E460XIIL       
7,T748XXL120-AL  
7,T748XXL220-AL  
7,T748XXL320-AL  
7,T748XXL420-AL  